layer,samples,input_values,mean,variance,std,min,p01,p05,median,p95,p99,max
head,50000,414936,0.44246262909864353,0.0903414369877186,0.3005685229489585,0.0,0.007843137718737125,0.02352941408753395,0.40000003576278687,0.960784375667572,0.9843137860298157,1.0
body.0.projection1,50000,4425984,-0.00047242363372016106,0.00011780173443809707,0.010853650742404469,-0.10761496424674988,-0.044737424701452255,-0.016969872638583183,0.00014597619883716106,0.013288061134517193,0.02907535247504711,0.17011816799640656
body.0.projection2,50000,4425984,0.0014072066441526833,0.000267283798690218,0.016348816430867955,-0.11632084846496582,-0.04055305942893028,-0.019927743822336197,2.3759259420330636e-05,0.030910566449165344,0.062383703887462616,0.16858606040477753
body.0.filter1,50000,4425984,-0.00433701064380959,0.001030665834958066,0.032103984720873294,-0.19790439307689667,-0.10815310478210449,-0.06931041181087494,-0.001826137420721352,0.04535090550780296,0.0675453320145607,0.11975422501564026
body.0.filter2,50000,4425984,0.005967499823516728,0.00037924736647986873,0.019474274478908548,-0.1443236619234085,-0.04494676738977432,-0.02060110680758953,0.0022439132444560528,0.04245666414499283,0.07119335234165192,0.183631032705307
body.1.projection1,50000,4425984,0.0010479665798757288,0.00017714645784530964,0.013309637780394687,-0.2032378762960434,-0.04179441183805466,-0.015505637973546982,0.00046714552445337176,0.01905057393014431,0.03385375812649727,0.24435821175575256
body.1.projection2,50000,4425984,-0.0014015360348718408,0.000649475756393805,0.02548481423110251,-0.33670344948768616,-0.08170704543590546,-0.03327888622879982,-0.00022252299822866917,0.029475830495357513,0.07708264887332916,0.33103612065315247
body.1.filter1,50000,4425984,-0.0004573834445011239,0.0007599939420780374,0.027567987631998775,-0.27165642380714417,-0.09519040584564209,-0.04863976687192917,0.0004986895364709198,0.03907942399382591,0.06657805293798447,0.2600387930870056
body.1.filter2,50000,4425984,0.010159134676007061,0.000529668471415713,0.023014527399356107,-0.3256881535053253,-0.03768354281783104,-0.014389412477612495,0.005158636253327131,0.0446334145963192,0.09828530251979828,0.2871714234352112
body.2.projection1,50000,4425984,0.005726708112053199,0.002003012665377599,0.04475502949812009,-0.5126374959945679,-0.12021326273679733,-0.05398420989513397,0.0031231329776346684,0.06500284373760223,0.15209567546844482,0.636961042881012
body.2.projection2,50000,4425984,-0.0009292713372808395,0.0017591689504628612,0.04194244807427031,-0.5670199990272522,-0.1317760944366455,-0.058014776557683945,-0.0006686375709250569,0.05803178623318672,0.13355885446071625,0.493039608001709
body.2.filter1,50000,4425984,-0.001721573623841941,0.002816209034238392,0.0530679661777083,-0.636025071144104,-0.16427433490753174,-0.08205270022153854,-0.0003007821796927601,0.06435021758079529,0.14826525747776031,0.6396187543869019
body.2.filter2,50000,4425984,0.023472588995950738,0.00342953472382839,0.0585622294984437,-0.7232930660247803,-0.10098188370466232,-0.03906390443444252,0.012369951233267784,0.11759953200817108,0.2448217272758484,1.050431489944458
body.3.projection1,50000,4425984,0.004393344458302236,0.00235159733572659,0.04849327103554255,-0.6825989484786987,-0.1432604193687439,-0.05514087155461311,0.0007985165575519204,0.07593941688537598,0.15384508669376373,0.5702890157699585
body.3.projection2,50000,4425984,0.0037642979582317767,0.0057450436225868805,0.0757960660099644,-1.0099329948425293,-0.22211293876171112,-0.10015931725502014,0.00016063585644587874,0.12110248953104019,0.24410384893417358,0.9217667579650879
body.3.filter1,50000,4425984,-0.006680983001622368,0.004765691688016826,0.06903398936767906,-0.8613327741622925,-0.20627494156360626,-0.11214000731706619,-0.003626589197665453,0.0909038558602333,0.1993970423936844,0.8025896549224854
body.3.filter2,50000,4425984,0.03226649301171787,0.008499885884646218,0.09219482569345319,-2.273489475250244,-0.17864668369293213,-0.05689125135540962,0.013622917234897614,0.17460300028324127,0.33790525794029236,1.4225633144378662
body.4.projection1,50000,4425984,0.004231640071233439,0.007271664716639325,0.08527405652740654,-1.199042558670044,-0.26465150713920593,-0.12139250338077545,0.0037214411422610283,0.11396163702011108,0.24350322782993317,0.9252816438674927
body.4.projection2,50000,4425984,0.027017217070238058,0.024673008513073018,0.15707644162341156,-1.884516716003418,-0.3377969563007355,-0.12329264730215073,0.0012315537314862013,0.2709234356880188,0.6605817079544067,2.172011137008667
body.4.filter1,50000,4425984,-0.009456013967571631,0.010459244519904548,0.10227044793049725,-1.0258837938308716,-0.2902414798736572,-0.14493556320667267,-0.007272709161043167,0.13692325353622437,0.3083032965660095,2.393395185470581
body.4.filter2,50000,4425984,0.014674140256454934,0.03015227226731161,0.1736440965518598,-2.9229490756988525,-0.4499444365501404,-0.20925365388393402,0.004109261557459831,0.27226129174232483,0.5499439835548401,2.148106575012207
tail,50000,4425984,-0.02439269553337658,0.02870840079658528,0.16943553581402362,-2.4147300720214844,-0.5288106203079224,-0.26163122057914734,-0.009282414801418781,0.150202214717865,0.48590847849845886,3.1428444385528564
