laplace_min,laplace_max,laplace_center,patch_count,patch_ratio
0.0,0.5,0.25,15720,0.18033313449272703
0.5,1.0,0.75,4315,0.049499839397971826
1.0,1.5,1.25,2612,0.0299637498279264
1.5,2.0,1.75,2362,0.027095856467673107
2.0,2.5,2.25,2537,0.02910338181985041
2.5,3.0,2.75,2555,0.02930987014178865
3.0,3.5,3.25,2341,0.026854953425411828
3.5,4.0,3.75,2331,0.026740237691001697
4.0,4.5,4.25,2169,0.024881842793557565
4.5,5.0,4.75,2170,0.024893314366998577
5.0,5.5,5.25,2148,0.024640939751296286
5.5,6.0,5.75,2213,0.025386592024962143
6.0,6.5,6.25,2223,0.025501307759372274
6.5,7.0,6.75,2171,0.02490478594043959
7.0,7.5,7.25,2346,0.026912311292616894
7.5,8.0,7.75,2227,0.025547194053136327
8.0,8.5,8.25,2281,0.02616665901895104
8.5,9.0,8.75,2258,0.025902812829807737
9.0,9.5,9.25,2246,0.025765153948515578
9.5,10.0,9.75,2051,0.02352819712751801
10.0,10.5,10.25,2053,0.023551140274400036
10.5,11.0,10.75,2027,0.023252879364933695
11.0,11.5,11.25,1900,0.021795989537925022
11.5,12.0,11.75,1784,0.020465287018767493
12.0,12.5,12.25,1729,0.01983435047951177
12.5,13.0,12.75,1591,0.01825127334465195
13.0,13.5,13.25,1437,0.016484651034735925
13.5,14.0,13.75,1392,0.01596843022989033
14.0,14.5,14.25,1259,0.01444271096223558
14.5,15.0,14.75,1106,0.012687560225760565
15.0,15.5,15.25,1051,0.012056623686504842
15.5,16.0,15.75,962,0.011035653650254669
16.0,16.5,16.25,857,0.009831138438948285
16.5,17.0,16.75,707,0.008110402422796311
17.0,17.5,17.25,642,0.007364750149130455
17.5,18.0,17.75,581,0.006664984169228652
18.0,18.5,18.25,526,0.006034047629972927
18.5,19.0,18.75,510,0.005850502454916717
19.0,19.5,19.25,447,0.005127793328132887
19.5,20.0,19.75,394,0.004519799935759189
20.0,20.5,20.25,346,0.003969164410590556
20.5,21.0,20.75,295,0.0033841141650988848
21.0,21.5,21.25,284,0.00325792685724774
21.5,22.0,21.75,250,0.0028678933602532923
22.0,22.5,22.25,187,0.0021451842334694626
22.5,23.0,22.75,187,0.0021451842334694626
23.0,23.5,23.25,157,0.0018010370302390677
23.5,24.0,23.75,162,0.0018583948974441335
24.0,24.5,24.25,136,0.001560133987977791
24.5,25.0,24.75,124,0.001422475106685633
25.0,25.5,25.25,106,0.001215986784747396
25.5,26.0,25.75,107,0.0012274583581884091
26.0,26.5,26.25,74,0.0008488964346349745
26.5,27.0,26.75,76,0.0008718395815170009
27.0,27.5,27.25,72,0.0008259532877529482
27.5,28.0,27.75,61,0.0006997659799018033
28.0,28.5,28.25,59,0.000676822833019777
28.5,29.0,28.75,46,0.0005276923782866058
29.0,29.5,29.25,34,0.00039003349699444774
29.5,30.0,29.75,28,0.00032120405634836874
30.0,30.5,30.25,24,0.0002753177625843161
30.5,31.0,30.75,19,0.00021795989537925023
31.0,31.5,31.25,21,0.00024090304226127656
31.5,32.0,31.75,9,0.00010324416096911853
32.0,32.5,32.25,12,0.00013765888129215804
32.5,33.0,32.75,11,0.00012618730785114488
33.0,33.5,33.25,2,2.2943146882026338e-05
33.5,34.0,33.75,7,8.030101408709219e-05
34.0,34.5,34.25,6,6.882944064607902e-05
34.5,35.0,34.75,6,6.882944064607902e-05
35.0,35.5,35.25,5,5.735786720506585e-05
35.5,36.0,35.75,5,5.735786720506585e-05
36.0,36.5,36.25,7,8.030101408709219e-05
36.5,37.0,36.75,1,1.1471573441013169e-05
37.0,37.5,37.25,1,1.1471573441013169e-05
37.5,38.0,37.75,2,2.2943146882026338e-05
38.0,38.5,38.25,1,1.1471573441013169e-05
38.5,39.0,38.75,2,2.2943146882026338e-05
39.0,39.5,39.25,1,1.1471573441013169e-05
39.5,40.0,39.75,1,1.1471573441013169e-05
40.0,40.5,40.25,1,1.1471573441013169e-05
40.5,41.0,40.75,0,0.0
41.0,41.5,41.25,1,1.1471573441013169e-05
41.5,42.0,41.75,1,1.1471573441013169e-05
42.0,42.5,42.25,1,1.1471573441013169e-05
42.5,43.0,42.75,1,1.1471573441013169e-05
43.0,43.5,43.25,0,0.0
43.5,44.0,43.75,0,0.0
44.0,44.5,44.25,0,0.0
44.5,45.0,44.75,0,0.0
45.0,45.5,45.25,0,0.0
45.5,46.0,45.75,0,0.0
46.0,46.5,46.25,1,1.1471573441013169e-05
46.5,47.0,46.75,0,0.0
47.0,47.5,47.25,1,1.1471573441013169e-05
